Dates,Temp (F),RH (%),Wind Spd (mph),Precip (in),Flow (ft^3 / s),Sample Flow
2012-04-01 12:00:00+00:00,60,66,13,0.0,71.9,71.9
2012-04-01 13:00:00+00:00,65,58,10,0.0,71.9,71.9
2012-04-01 14:00:00+00:00,66,58,11,0.0,70.6,71.9
2012-04-01 15:00:00+00:00,67,56,14,0.0,69.3,71.9
2012-04-01 16:00:00+00:00,66,58,16,0.0,68.0,71.9
2012-04-01 17:00:00+00:00,64,62,17,0.0,68.0,71.9
2012-04-01 18:00:00+00:00,62,64,18,0.0,69.3,71.9
2012-04-01 19:00:00+00:00,59,69,15,0.0,70.6,71.9
2012-04-01 20:00:00+00:00,57,71,15,0.0,70.6,71.9
2012-04-01 21:00:00+00:00,56,74,16,0.0,70.6,71.9
2012-04-01 22:00:00+00:00,54,77,17,0.0,70.6,71.9
2012-04-01 23:00:00+00:00,53,73,20,0.0,71.9,71.9
2012-04-02 00:00:00+00:00,52,71,20,0.0,70.6,71.9
2012-04-02 01:00:00+00:00,51,68,21,0.0,69.3,71.9
2012-04-02 02:00:00+00:00,50,58,21,0.0,65.4,71.9
2012-04-02 03:00:00+00:00,50,58,23,0.0,66.7,71.9
2012-04-02 04:00:00+00:00,49,60,23,0.0,68.0,71.9
2012-04-02 05:00:00+00:00,49,63,22,0.0,69.3,71.9
2012-04-02 06:00:00+00:00,48,67,22,0.0,69.3,71.9
2012-04-02 07:00:00+00:00,48,70,24,0.0,70.6,71.9
2012-04-02 08:00:00+00:00,51,68,28,0.0,70.6,71.9
2012-04-02 09:00:00+00:00,55,54,30,0.0,69.3,71.9
2012-04-02 10:00:00+00:00,58,49,28,0.0,69.3,71.9
2012-04-02 11:00:00+00:00,62,47,28,0.0,68.0,71.9
2012-04-02 12:00:00+00:00,67,47,24,0.0,65.4,71.9
2012-04-02 13:00:00+00:00,69,47,24,0.0,65.4,71.9
2012-04-02 14:00:00+00:00,69,48,23,0.0,66.7,71.9
2012-04-02 15:00:00+00:00,69,50,18,0.0,66.7,71.9
2012-04-02 16:00:00+00:00,71,50,16,0.0,66.7,71.9
2012-04-02 17:00:00+00:00,69,54,21,0.0,68.0,71.9
2012-04-02 18:00:00+00:00,67,58,11,0.0,66.7,71.9
2012-04-02 19:00:00+00:00,62,67,10,0.0,66.7,71.9
