SiteNumber,SiteName,SiteCategory,SiteAgency,SiteLongitude,SiteLatitude,SiteNWISURL
04024430,"NEMADJI RIVER NEAR SOUTH SUPERIOR, WI",ST,USGS,-92.09388890,46.63333330,Access Data
05132000,"BIG FORK RIVER AT BIG FALLS, MN",ST,USGS,-93.80712450,48.19578490,Access Data
05207600,"MISSISSIPPI RIVER AT WILLOW BEACH AT BALL CLUB, MN",ST,USGS,-93.90138890,47.30222220,Access Data
05227500,"MISSISSIPPI RIVER AT AITKIN, MN",ST,USGS,-93.70747120,46.54051280,Access Data
05289800,"MINNEHAHA CREEK AT HIAWATHA AVE. IN MINNEAPOLIS,MN",ST,USGS,-93.21272240,44.91552097,Access Data
05301000,"MINNESOTA RIVER NEAR LAC QUI PARLE, MN",ST,USGS,-95.86836480,45.02134720,Access Data
05304500,"CHIPPEWA RIVER NEAR MILAN, MN",ST,USGS,-95.79892240,45.10829200,Access Data
05311000,"MINNESOTA RIVER AT MONTEVIDEO, MN",ST,USGS,-95.73363740,44.93329030,Access Data
05330000,"MINNESOTA RIVER NEAR JORDAN, MN",ST,USGS,-93.64190200,44.69301845,Access Data
05333500,"ST. CROIX RIVER NEAR DANBURY, WI",ST,USGS,-92.24666670,46.07611110,Access Data
05355024,CANNON RIVER AT NORTHFIELD MN,ST,USGS,-93.15966670,44.45858330,Access Data
05372995,"SOUTH FORK ZUMBRO RIVER AT ROCHESTER, MN",ST,USGS,-92.46628890,44.06163100,Access Data
05385000,"ROOT RIVER NEAR HOUSTON, MN",ST,USGS,-91.56986540,43.76857719,Access Data
05386400,"MISSISSIPPI RIVER AT BROWNSVILLE, MN",ST,USGS,-91.27263470,43.68663579,Access Data
